ArrayTaskID	SampleID
1	Cen08_13102015_R1_S1
2	Cen08_12102016_R1_S2
3	Cen08_21102017_R1_S3
4	Cen08_04102018_R1_S4
5	Cen08_15102020_R1_S5
6	Cen08_06102021_R1_S6
7	Cen11_12102015_R1_S7
8	Cen11_11102016_R1_S8
9	Cen11_20102017_R1_S9
10	Cen11_03102018_R1_S10
11	Cen11_06102019_R1_S11
12	Cen11_13102020_R1_S12
13	Cen11_06102021_R1_S13
14	Cen14_12102015_R1_S14
15	Cen14_11102016_R1_S15
16	Cen14_19102017_R1_S16
17	Cen14_02102018_R1_S17
18	Cen14_06102019_R1_S18
19	Cen14_13102020_R1_S19
20	Cen14_05102021_R1_S20
21	Cen15_12102015_R1_S21
22	Cen15_11102016_R1_S22
23	Cen15_19102017_R1_S23
24	Cen15_02102018_R1_S24
25	Cen15_06102019_R1_S25
26	Cen15_13102020_R1_S26
27	Cen15_05102021_R1_S27
28	Cen16_12102015_R1_S28
29	Cen16_11102016_R1_S29
30	Cen16_19102017_R1_S30
31	Cen16_02102018_R1_S31
32	Cen16_06102019_R1_S32
33	Cen16_15102020_R1_S33
34	Cen16_05102021_R1_S34
35	Cen17_12102015_R1_S35
36	Cen17_12102016_R1_S36
37	Cen17_21102017_R1_S37
38	Cen17_03102018_R1_S38
39	Cen17_06102019_R1_S39
40	Cen17_14102020_R1_S40
41	Cen17_05102021_R1_S41
42	Cen19_12102015_R1_S42
43	Cen19_11102016_R1_S43
44	Cen19_19102017_R1_S44
45	Cen19_02102018_R1_S45
46	Cen19_06102019_R1_S46
47	Cen19_13102020_R1_S47
48	Cen19_05102021_R1_S48
49	Cen21_12102015_R1_S49
50	Cen21_11102016_R1_S50
51	Cen21_19102017_R1_S51
52	Cen21_02102018_R1_S52
53	Cen21_06102019_R1_S53
54	Cen21_13102020_R1_S54
55	Cen21_05102021_R1_S55
56	Cen22_12102015_R1_S56
57	Cen22_11102016_R1_S57
58	Cen22_20102017_R1_S58
59	Cen22_03102018_R1_S59
60	Cen22_06102019_R1_S60
61	Cen22_13102020_R1_S61
62	Cen22_07102021_R1_S62
63	Cen23_13102015_R1_S63
64	Cen23_12102016_R1_S64
65	Cen23_21102017_R1_S65
66	Cen23_04102018_R1_S66
67	Cen23_07102019_R1_S67
68	Cen23_15102020_R1_S68
69	Cen23_06102021_R1_S69
