SequenceID	contig_id	viralID	VS2_length	keep_cat	is.suspect	manual_approve	is_phage
Cen08_13102015_R1_S1	NODE_1037_length_15156_cov_3.502961	NODE_1037_length_15156_cov_3.502961__full	15156	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1119_length_14545_cov_5.547857	NODE_1119_length_14545_cov_5.547857__full	14545	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1225_length_13957_cov_1.905857	NODE_1225_length_13957_cov_1.905857__full	13957	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1235_length_13921_cov_11.339133	NODE_1235_length_13921_cov_11.339133__full	13921	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1249_length_13830_cov_3.016201	NODE_1249_length_13830_cov_3.016201__full	13830	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_1310_length_13436_cov_2.827936	NODE_1310_length_13436_cov_2.827936__full	13436	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_132_length_55101_cov_4.616346	NODE_132_length_55101_cov_4.616346__full	55101	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_133_length_54504_cov_3.130662	NODE_133_length_54504_cov_3.130662__full	54504	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1369_length_13159_cov_4.954650	NODE_1369_length_13159_cov_4.954650__full	13159	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1387_length_13035_cov_1.793384	NODE_1387_length_13035_cov_1.793384__full	13035	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_140_length_52886_cov_3.681817	NODE_140_length_52886_cov_3.681817__full	52886	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_141_length_52860_cov_4.594125	NODE_141_length_52860_cov_4.594125__full	52860	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1443_length_12736_cov_5.405187	NODE_1443_length_12736_cov_5.405187__full	12736	Keep1	0	Unapproved	1
